R,Team,P,W,D,L,GF,GA,GD,Pts,Form,SpG,Yellow,Red,Possession%,Pass Success%,Fouls pg,Pens Against,Pens For,Pens +/- (F - A)
1,Arsenal,19,8,7,4,39,28,+11,31,DWDLLD,16,35,3,59.8,83,11.5,6,3,-3
2,Manchester City,19,8,4,7,26,21,+5,28,LLLWLW,12.6,432,2,53.9,81.5,13.4,2,1,-1
3,Chelsea,19,7,5,7,30,20,+10,26,DWDWLL,19.3,43,0,59.5,83.1,12.1,1,3,2
4,Tottenham,19,7,5,7,25,27,-2,26,LDDLLW,14.4,23,1,52.8,80.3,10.9,3,2,-1
5,Manchester United,19,5,10,4,29,25,+4,25,LLWDLD,14.3,40,2,56.8,80.2,12.3,5,3,-2
6,Sunderland,19,5,6,8,20,29,-9,21,LDLLWW,12.9,33,3,46.8,70.9,12.8,3,1,-2
7,Everton,19,4,8,7,20,22,-2,20,LWWLDL,13.6,28,2,50.1,76.7,13.2,2,2,0
8,Newcastle United,19,5,5,9,15,30,-15,20,WLLDLD,11,46,1,48.7,74.8,12.6,4,0,-4
9,Wigan,19,4,7,8,18,27,-9,19,LLWLDW,11.6,40,3,46.9,73.9,13.4,2,1,-1
10,Blackpool,19,5,4,10,25,41,-16,19,LLDLDL,12.5,25,2,47.7,77.2,10.7,2,5,3
11,Fulham,19,3,9,7,19,20,-1,18,DLLDWW,12.8,24,0,49.7,76.1,13.3,0,0,0
12,Liverpool,19,5,3,11,22,30,-8,18,LWLDWL,13.9,40,1,52,76.4,12.2,4,4,0
13,West Bromwich Albion,19,4,5,10,26,41,-15,17,DWWDLD,14.2,24,4,47.9,77.6,11.4,4,3,-1
14,Aston Villa,19,4,5,10,22,40,-18,17,DLDWLW,12.2,36,1,49.2,74.1,12.6,4,3,-1
15,Blackburn,19,4,3,12,24,43,-19,15,LLDLDW,10.5,40,4,41.9,66.2,13.4,5,2,-3
16,Birmingham,19,2,7,10,18,36,-18,13,LDLLLL,9.1,34,1,44.9,70.6,11.9,3,1,-2
17,West Ham,19,2,7,10,19,39,-20,13,DDLLLL,13.1,36,1,44.4,76,12.4,2,1,-1
18,Stoke,19,3,3,13,15,30,-15,12,LLLDDL,9.7,38,2,37.6,65,12.2,5,2,-3
19,Wolverhampton Wanderers,19,3,3,13,16,36,-20,12,DWLLDW,10.7,35,2,49.5,73.8,12.8,1,2,1
20,Bolton,19,2,5,12,18,32,-14,11,DLLLLL,13.7,38,1,46.5,65.1,13.8,5,0,-5